 --- Training Colorizer ---
 --- Loading Data ---
 --- Finished Loading Data, Training model ---
[25,   700] loss: 4.37558
[25,   840] loss: 4.30583
[26,   140] loss: 4.57577
[26,   280] loss: 4.34440
[26,   420] loss: 4.11796
[26,   560] loss: 4.21987
[26,   700] loss: 4.24203
[26,   840] loss: 4.21427
[27,   140] loss: 3.97280
[27,   280] loss: 4.15942
[27,   420] loss: 4.14425
[27,   560] loss: 4.27837
[27,   700] loss: 4.19067
[27,   840] loss: 4.01829
[28,   140] loss: 3.97055
[28,   280] loss: 3.86031
[28,   420] loss: 3.95374
[28,   560] loss: 4.20439
[28,   700] loss: 4.08031
[28,   840] loss: 4.05675
[29,   140] loss: 4.07590
[29,   280] loss: 3.95051
[29,   420] loss: 4.08507
[29,   560] loss: 4.15429
[29,   700] loss: 4.00054
[29,   840] loss: 3.93019
[30,   140] loss: 3.85003
[30,   280] loss: 4.15539
[30,   420] loss: 3.94244
[30,   560] loss: 3.89723
[30,   700] loss: 3.90828
[30,   840] loss: 3.90036
[31,   140] loss: 3.87408
[31,   280] loss: 3.78036
[31,   420] loss: 3.87243
[31,   560] loss: 3.64100
[31,   700] loss: 3.76100
[31,   840] loss: 3.93911
[32,   140] loss: 3.62889
[32,   280] loss: 3.80958
[32,   420] loss: 3.69167
[32,   560] loss: 3.80983
[32,   700] loss: 3.73442
[32,   840] loss: 4.03901
 --- Finished Training ---
 --- Wrote image to 'test_image_results/img000.png'
 --- Wrote image to 'test_image_results/img001.png'
 --- Wrote image to 'test_image_results/img002.png'
 --- Wrote image to 'test_image_results/img003.png'
 --- Wrote image to 'test_image_results/img004.png'
 --- Wrote image to 'test_image_results/img005.png'
 --- Wrote image to 'test_image_results/img006.png'
 --- Wrote image to 'test_image_results/img007.png'
 --- Test Batch #1 Loss: 4.088128 ---
 --- Wrote image to 'test_image_results/img008.png'
 --- Wrote image to 'test_image_results/img009.png'
 --- Wrote image to 'test_image_results/img010.png'
 --- Wrote image to 'test_image_results/img011.png'
 --- Wrote image to 'test_image_results/img012.png'
 --- Wrote image to 'test_image_results/img013.png'
 --- Wrote image to 'test_image_results/img014.png'
 --- Wrote image to 'test_image_results/img015.png'
 --- Test Batch #2 Loss: 7.010493 ---
 --- Wrote image to 'test_image_results/img016.png'
 --- Wrote image to 'test_image_results/img017.png'
 --- Wrote image to 'test_image_results/img018.png'
 --- Wrote image to 'test_image_results/img019.png'
 --- Wrote image to 'test_image_results/img020.png'
 --- Wrote image to 'test_image_results/img021.png'
 --- Wrote image to 'test_image_results/img022.png'
 --- Wrote image to 'test_image_results/img023.png'
 --- Test Batch #3 Loss: 6.357346 ---
 --- Wrote image to 'test_image_results/img024.png'
 --- Wrote image to 'test_image_results/img025.png'
 --- Wrote image to 'test_image_results/img026.png'
 --- Wrote image to 'test_image_results/img027.png'
 --- Wrote image to 'test_image_results/img028.png'
 --- Wrote image to 'test_image_results/img029.png'
 --- Wrote image to 'test_image_results/img030.png'
 --- Wrote image to 'test_image_results/img031.png'
 --- Test Batch #4 Loss: 5.767812 ---
 --- Wrote image to 'test_image_results/img032.png'
 --- Wrote image to 'test_image_results/img033.png'
 --- Wrote image to 'test_image_results/img034.png'
 --- Wrote image to 'test_image_results/img035.png'
 --- Wrote image to 'test_image_results/img036.png'
 --- Wrote image to 'test_image_results/img037.png'
 --- Wrote image to 'test_image_results/img038.png'
 --- Wrote image to 'test_image_results/img039.png'
 --- Test Batch #5 Loss: 6.135294 ---
 --- Wrote image to 'test_image_results/img040.png'
 --- Wrote image to 'test_image_results/img041.png'
 --- Wrote image to 'test_image_results/img042.png'
 --- Wrote image to 'test_image_results/img043.png'
 --- Wrote image to 'test_image_results/img044.png'
 --- Wrote image to 'test_image_results/img045.png'
 --- Wrote image to 'test_image_results/img046.png'
 --- Wrote image to 'test_image_results/img047.png'
 --- Test Batch #6 Loss: 4.982258 ---
 --- Wrote image to 'test_image_results/img048.png'
 --- Wrote image to 'test_image_results/img049.png'
 --- Wrote image to 'test_image_results/img050.png'
 --- Wrote image to 'test_image_results/img051.png'
 --- Wrote image to 'test_image_results/img052.png'
 --- Wrote image to 'test_image_results/img053.png'
 --- Wrote image to 'test_image_results/img054.png'
 --- Wrote image to 'test_image_results/img055.png'
 --- Test Batch #7 Loss: 5.482608 ---
 --- Wrote image to 'test_image_results/img056.png'
 --- Wrote image to 'test_image_results/img057.png'
 --- Wrote image to 'test_image_results/img058.png'
 --- Wrote image to 'test_image_results/img059.png'
 --- Wrote image to 'test_image_results/img060.png'
 --- Wrote image to 'test_image_results/img061.png'
 --- Wrote image to 'test_image_results/img062.png'
 --- Wrote image to 'test_image_results/img063.png'
 --- Test Batch #8 Loss: 3.773506 ---
 --- Wrote image to 'test_image_results/img064.png'
 --- Wrote image to 'test_image_results/img065.png'
 --- Wrote image to 'test_image_results/img066.png'
 --- Wrote image to 'test_image_results/img067.png'
 --- Wrote image to 'test_image_results/img068.png'
 --- Wrote image to 'test_image_results/img069.png'
 --- Wrote image to 'test_image_results/img070.png'
 --- Wrote image to 'test_image_results/img071.png'
 --- Test Batch #9 Loss: 4.283816 ---
 --- Wrote image to 'test_image_results/img072.png'
 --- Wrote image to 'test_image_results/img073.png'
 --- Wrote image to 'test_image_results/img074.png'
 --- Test Batch #10 Loss: 4.874397 ---

 --- Average MSE Loss: 5.275566
Sun Oct 24 22:03:17 EDT 2021
